Platform,Model Name,price,color,Model Code,Frame,Fork,Headset,Rear Derailleur,Front Derailleur,Shifters,Chain,Crank,Rear Cogs,Bottom Bracket,Brakes,Brake Levers,Front Hub,Rear Hub,Rims,Spokes,Tire Size,Wheel Size,Tires,Front Tire,Rear Tire,Handlebar,Stem,Grips,Saddle,Seatpost,Wheel Sensor,Extra 1,image_url,Hubs,Ingestion Hazard,Rear Shock,Drive Unit,Battery,Charger,Display,Certifications,Brake Type
CAAD Optimo,CAAD Optimo 2,"$1,375",Black Pearl,C14201M,"SmartForm C2 Alloy, SAVE, tapered headtube, fender mounts, 130x10mm QR","CAAD Optimo Full Carbon, 1-1/8"" to 1-1/4"" steerer, fender mounts, 100x9mm QR","CAAD Optimo, 1-1/8"" to 1-1/4"", 25mm top cap",Shimano Tiagra GS,"Shimano Tiagra, 31.8mm clamp","Shimano Tiagra, 10-speed","KMC X10EL, 10-speed","FSA Omega ME Alloy, 50/34","Sunrace, 11-32, 10-speed",FSA Cartridge,"Promax RC-476, dual pivot calipers",Shimano Tiagra,Formula RB-31,Formula RB-32,"RS 3.0, 24h front, 28h rear","Stainless Steel, 14g",25,700c,"Vittoria Zaffiro, 700x25c","Vittoria Zaffiro, 700x25c","Vittoria Zaffiro, 700x25c","6061 Alloy, Compact","6061 Alloy, 31.8, 7°","Cannondale Bar Tape, 3.5mm",Cannondale Stage CX,"Cannondale 4, 6061 Alloy, 27.2x350mm",,,https://embed.widencdn.net/img/dorelrl/mgtsl7x6w0/800px@1x/C21_C14201M_CAAD_Optimo_2_BPL_D7.jpg?color=f2eff7&q=90,,,,,,,,,Rim
Habit HT,Habit HT 2,"$1,350",Mantis,C26202U,"Habit HT, SmartForm C2 Alloy, tapered headtube, post mount disc, StraightShot internal cable routing, dropper post compatible, BSA 73, 12mm thru axle, Boost 148, 55mm chainline, UDH hanger","RockShox Judy TK, 130mm, Solo Air, 15x110mm thru-axle, tapered steerer, 42mm offset","Integrated Sealed Bearing, Tapered",microSHIFT Advent X Pro,,"microSHIFT Advent X Pro, 10-speed","KMC X10, 10-speed","Prowheel, 30T, 55mm chainline","microSHIFT Advent X Pro, 11-48, 10-speed",ProWheel BSA 73,SRAM Level hydraulic disc 180/180mm CenterLine Rotors,SRAM Level hydraulic disc,,,"WTB STX i30 TCS, 32h, tubeless ready","Stainless Steel, 14g",2.5,29,"(F) WTB Vigilante, 29x2.5"" (R) WTB Vigilante, 29x2.4""","WTB Vigilante, 29x2.5"", tubeless ready","WTB Vigilante, 29x2.4"", tubeless ready","Cannondale 3 Riser, 6061 Alloy, 15mm rise, 8° sweep, 4° rise, 780mm","Cannondale 3, 6061 Alloy, 31.8, 0°",Cannondale TrailShroom,Cannondale Ergo XC,"TranzX dropper, internal routing, 31.6, 100mm (S), 120mm (M), 130mm (L-XL)",,,/-/media/images/my23/bikes/mountain/trail/habit-ht/pdp/c23_habitht_carousel_4.ashx,"(F) Formula alloy, 15x110mm thru-axle / (R) Formula alloy 12x148mm thru-axle",,,,,,,,
Topstone Alloy,Topstone 4,"$1,325",Black Magic,C15801M,"SmartForm C2 Alloy, 12x142 thru-axle, tapered headtube, flat mount disc, StraightShot internal cable routing, multiple gear/bottle mounts","BallisTec Full Carbon, 1-1/8"" to 1-1/4"" steerer, 55mm OutFront offset, flat mount disc, internal routing, 12x100 thru axle","Integrated, 1-1/8"" - 1-1/4""",microSHIFT Advent X,,"microSHIFT Advent X, 10-speed","KMC X10, 10-speed","Prowheel, 40T","microSHIFT, 11-48, 10-speed","Cartridge, square taper","Promax Render R mechanical disc, 160/160mm rotors",microSHIFT Advent X,"Formula alloy, 12x100mm","Formula alloy, 12x142mm","RD 2.0, 28h","Stainless Steel, 14g",37,700c,"WTB Riddler Comp, 700x37c",,,"Cannondale 3, butted 6061 alloy, 16 deg flare drop","Cannondale 3, 6061 Alloy, 31.8, 7°","Cannondale Bar Tape, 3.5mm",Cannondale Stage CX,"Cannondale 4, 6061 Alloy, 27.2x350mm",,Removable fender bridge,https://embed.widencdn.net/img/dorelrl/xlxx5vcz0v/800px@1x/C21_C15801M_Topstone_4_BKM_D7.jpg?color=E4E8EC&q=90,,,,,,,,,Disc
Synapse,Synapse Women's Sora,"$1,325",Cashmere,C12650F,"SmartForm C2 Alloy, SAVE, BB30, internal cable routing, flat mount, 130x9mm QR                                                                                            

SAVE
BB30
Internal cable routing
Flat mount","BallisTec Full Carbon, integrated crown race, SAVE, 12x100mm thru-axle, internal routing","FSA Sealed Bearing, Integrated, 1-1/4""-1-1/8""",Shimano Sora GS,"Shimano Sora, braze-on","Shimano Sora, 9-speed","KMC Z9, 9-speed","FSA Vero Alloy, 50/34","Shimano HG400, 11-34, 9-speed","Cartridge, square taper","Promax Decoder R mechanical disc, 160/160mm rotors",Shimano Sora,"Formula CRX-512, 12x100mm","Alloy, sealed loose ball bearing, QR","RD, 28h","Stainless steel, 14g",28,700c,"Vittoria Zaffiro, 700x28c",,,"Cannondale 4, 6061 alloy, Compact","Cannondale 4, 6061 Alloy, 31.8, 7°","Cannondale Bar Tape, 3.5mm",Cannondale Stage Ergo Women's,"Cannondale 4, 6061 Alloy, 25.4x300mm (44-51), 350mm (54)",,Removable fender bridge,https://embed.widencdn.net/img/dorelrl/b51ndlu2hi/800px@1x/C20_C12650F_Synapse_Al_Disc_Sora_CAS_D7.jpg?color=ebe8e0&q=90,,,,,,,,,Disc
Synapse,Synapse 3,"$1,300",Smoke Black,C12702U,"Lightweight SmartForm C2 Alloy, SmartSense compatible, BSA threaded BB, internal cable routing, flat mount, 142x12 thru-axle, hidden rack/fender mounts","Synapse Carbon, integrated crown race, 12x100mm thru-axle, internal routing, flat mount brake, fender mounts","Integrated, 1-1/8"" - 1-1/4""",Shimano Sora GS,Shimano Sora,"Shimano Sora, 9-speed","KMC Z9, 9-speed","FSA Vero Compact, 50/34","Shimano Sora, 11-34, 9-speed",FSA Cartridge,"Promax Decoder R mechanical disc, 160/160mm rotors",Shimano Sora,,,"RD 3.1, 28h","Stainless Steel, 14g",30,700c,"Vittoria Zaffiro, 700x30c","Vittoria Zaffiro, 700x30c","Vittoria Zaffiro, 700x30c","Cannondale 4, 6061 Alloy, Compact","Cannondale 3, 6061 Alloy, 31.8, 7°","Cannondale Bar Tape, 3.5mm",Cannondale Stage CX,"Cannondale 4, 6061 Alloy, 27.2x350mm",,Trainer Axle Caps,https://embed.widencdn.net/img/dorelrl/rtfilx1vk3/800px@1x/C23_C12702U_Synapse_3_SBK_D3.jpg?color=F1F1F1&q=90,"(F) Formula RX-512, 12x100mm centerlock / (R) Formula RX-142, 12x142mm centerlock",,,,,,,,
CAAD Optimo,CAAD Optimo 3,"$1,300",Ultra Violet,C14301M,"SmartForm C2 Alloy, SAVE, tapered headtube, fender mounts, 130x10mm QR","CAAD Optimo Full Carbon, 1-1/8"" to 1-1/4"" steerer, fender mounts, 100x9mm QR","CAAD Optimo, 1-1/8"" to 1-1/4"", 25mm top cap",Shimano Sora GS,"Shimano Sora, 31.8 clamp","Shimano Sora, 9-speed","KMC X9, 9-speed","FSA Vero Alloy, 50/34","Shimano HG50, 11-30, 9-speed","Cartridge, square taper","Promax RC-452, dual pivot calipers",Shimano Sora,Formula RB-31,Formula RB-32,"RS 3.0, 24h front, 28h rear","Stainless Steel, 14g",25,700c,"Vittoria Zaffiro, 700x25c","Vittoria Zaffiro, 700x25c","Vittoria Zaffiro, 700x25c","6061 Alloy, Compact","6061 Alloy, 31.8, 7°","Cannondale Bar Tape, 3.5mm",Cannondale Stage CX,"Cannondale 4, 6061 Alloy, 27.2x350mm",,,https://embed.widencdn.net/img/dorelrl/nyzkqfqqbh/800px@1x/C21_C14301M_CAAD_Optimo_3_ULV_D7.jpg?color=e2d8f3&q=90,,,,,,,,,Rim
Quick CX,Quick CX Women's 1,"$1,249.99 - $1,250",Sage,C31151F,"SmartForm C3 Alloy, SAVE, tapered head tube, Straightshot hidden cable routing, flat mount disc, rack/fender mounts, 360° reflectivity","Suntour NEX-E25, 63mm, tapered alloy steerer, coil, remote lockout, custom crown","Semi-Integrated, Tapered",SX Eagle,,"SRAM SX Eagle, 12-speed","SRAM SX Eagle, 12-speed","SRAM SX Eagle Power Spline, 38T","SRAM SX Eagle, 11-50, 12-speed",Truvativ Power Spline,"(F) Tektro HD-T275 hydraulic disc, 160mm rotor / (R) Tektro HD-R280 hydraulic disc, 160mm rotor",Tektro hydraulic disc,"Sealed Alloy Disc, QR","Sealed Alloy Disc, QR","RD 3.0, double wall w/eyelet, 32h","Stainless Steel, 14g",40,700c,"Vittoria Terreno Dry, 700x40c, reflective strip","Vittoria Terreno Dry, 700x40c, reflective strip","Vittoria Terreno Dry, 700x40c, reflective strip","Cannondale 3, 6061 Alloy Double-butted, 20mm rise, 9° back, 660mm","Cannondale 3 with Intellimount, Alloy, 31.8mm clamp",Fabric FunGuy,Cannondale Fitness Ergo Double Density,"Cannondale 3, 6061 Alloy, 27.2x350mm",Cannondale Wheel Sensor,,https://embed.widencdn.net/img/dorelrl/dyxfzmquna/800px@1x/C23_C31151F_Quick_CX_1_SGE_D8.jpg?color=FAFBF9&q=90,,WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,Disc
Quick CX,Quick CX 1,"$1,250$1,500",Mantis,C31151M,"SmartForm C3 Alloy, SAVE, tapered head tube, Straightshot hidden cable routing, flat mount disc, rack/fender mounts, 360° reflectivity","Suntour NEX-E25, 63mm, tapered alloy steerer, coil, remote lockout, custom crown","Semi-Integrated, Tapered",SX Eagle,,"SRAM SX Eagle, 12-speed","SRAM SX Eagle, 12-speed","SRAM SX Eagle Power Spline, 38T","SRAM SX Eagle, 11-50, 12-speed",Truvativ Power Spline,"(F) Tektro HD-T275 hydraulic disc, 160mm rotor / (R) Tektro HD-R280 hydraulic disc, 160mm rotor",Tektro hydraulic disc,"Sealed Alloy Disc, QR","Sealed Alloy Disc, QR","RD 3.0, double wall w/eyelet, 32h","Stainless Steel, 14g",40,700c,"Vittoria Terreno Dry, 700x40c, reflective strip","Vittoria Terreno Dry, 700x40c, reflective strip","Vittoria Terreno Dry, 700x40c, reflective strip","Cannondale 3, 6061 Alloy Double-butted, 20mm rise, 9° back, 700mm","Cannondale 3 with Intellimount, Alloy, 31.8mm clamp",Fabric FunGuy,Cannondale Fitness Ergo Double Density,"Cannondale 3, 6061 Alloy, 27.2x350mm",Cannondale Wheel Sensor,,https://embed.widencdn.net/img/dorelrl/trqf98aflv/800px@1x/C21_C31151M_Quick_CX_1_MAT_D8.jpg?color=f1f3e2&q=90,,WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,Disc
Quick,Quick 2,"$1,175 - $1,200",Crush,C31200M,"SmartForm C3 Alloy, SAVE, tapered head tube, Straightshot hidden cable routing, flat mount disc, rack/fender mounts, 360° reflectivity                                                                                            

SAVE
Tapered head tube
Straightshot hidden cable routing
Flat mount disc
Rack/fender mounts
360° reflectivity","Full carbon, 12x100mm thru-axle, 1-1/4"" to 1-1/8"" tapered steerer, flat mount disc, fender mounts, 360° reflectivity","FSA Sealed Bearing, integrated, 1-1/4""-1-1/8""",microSHIFT Advent X,N/A,"microSHIFT Advent X, 9 speed","KMC Z9, 9-speed","Prowheel, 38T","microSHIFT Advent X, 11-48, 9-speed","Cartridge, square taper","Tektro HD-R280 hydraulic disc, 160/140mm rotors",Tektro hydraulic disc,"Formula CRX-512, 12x100mm","Alloy Disc Cassette QR, 28H","Cannondale Disc, double wall w/eyelet, 32h","Stainless Steel, 14g",32,700c,"Schwalbe Lugano, 700x32c, K-Guard, reflective strip","Schwalbe Lugano, 700x32c, K-Guard, reflective strip","Schwalbe Lugano, 700x32c, K-Guard, reflective strip","Cannondale 3 Riser, 6061 Alloy, 18mm rise, 8° back, 4° up, 680mm","Cannondale 3 with Intellimount, Alloy, 31.8mm clamp","Cannondale Ergo Fitness Dual Density, Lock-on",Cannondale Fitness Ergo Double Density,"Cannondale 3, 6061 Alloy, 27.2x350mm",Cannondale Wheel Sensor,,/-/media/images/my20/bikes/active/fitness/quick/pb_quick_mg_6363_itw.ashx,,WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,Disc
Trail,Trail Women's SE 4,"$1,175",Purple,C26201F,"SmartForm C2 Alloy, SAVE dropped seatstays, tapered headtube, post mount disc, StraightShot internal cable routing, dropper post compatible BSA 73, 12mm thru axle, Boost 148","SR Suntour XCR, 120mm, coil, 15x110 thru-axle, 46mm offset","Integrated Sealed Bearing, Tapered",Shimano Deore M5120,,"Shimano Deore M4100, 10-speed","KMC X10, 10-speed","FSA Alpha Drive, 30T","Shimano Deore M4100, 11-46, 10-speed","Sealed cartridge bearing, square taper","Tektro M390 hydraulic disc, 180/160mm rotors",Tektro hydraulic disc,"Shimano TC500, 15x110mm thru-axle","Shimano TC500, 12x148mm thru-axle","WTB STX i25 TCS, 32h, tubeless ready","Stainless Steel, 14g",2.25,29,"(F) WTB Breakout, 29x2.3"" / (R) WTB Trail Boss, 29x2.25""","WTB Breakout 29x2.3""","WTB Trail Boss 29x2.25""","FSA Alloy Riser, 15mm rise, 740mm","Cannondale 3, 6061 Alloy, 31.8, 0°",Cannondale Dual-Density,"Cannondale Women's Trail, 170mm, steel rails","Cannondale 3, 6061 Alloy, 31.6x350mm (S), 400mm (M-XL)",,,https://embed.widencdn.net/img/dorelrl/xes5d6l1rl/800px@1x/C21_C26201F_Trail_SE_4_PUR_D7.jpg?color=efe5ec&q=90,,,,,,,,,Disc
Quick,Quick Women's 2,"$1,175",Black Cherry,C31200F,"SmartForm C3 Alloy, SAVE, tapered head tube, Straightshot hidden cable routing, flat mount disc, rack/fender mounts, 360° reflectivity                                                                                            

SAVE
Tapered head tube
Straightshot hidden cable routing
Flat mount disc
Rack/fender mounts
360° reflectivity","Full carbon, 12x100mm thru-axle, 1-1/4"" to 1-1/8"" tapered steerer, flat mount disc, fender mounts, 360° reflectivity","FSA Sealed Bearing, integrated, 1-1/4""-1-1/8""",Shimano Sora GS,"Shimano Sora, 31.8 clamp","Shimano Sora, 9-speed","KMC Z9, 9-speed","FSA Tempo, 50/34","Shimano HG200, 11-34, 9-speed","Cartridge, square taper","Tektro HD-R280 hydraulic disc, 160/140mm rotors",Tektro hydraulic disc,"Formula CRX-512, 12x100mm","Alloy Disc Cassette QR, 28H","Cannondale Disc, double wall w/eyelet, 32h","Stainless Steel, 14g",32,700c,"Schwalbe Lugano, 700x32c, K-Guard, reflective strip","Schwalbe Lugano, 700x32c, K-Guard, reflective strip","Schwalbe Lugano, 700x32c, K-Guard, reflective strip","Cannondale 3 Riser, 6061 Alloy, 18mm rise, 8° back, 4° up, 680mm","Cannondale 3 with Intellimount, Alloy, 31.8mm clamp","Cannondale Ergo Fitness Dual Density, Lock-on",Cannondale Fitness Ergo Double Density,"Cannondale 3, 6061 Alloy, 27.2x350mm",Cannondale Wheel Sensor,,/-/media/images/my20/bikes/active/fitness/quick/pb_quick_mg_6363_itw.ashx,,WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,Disc
Trail,Trail SE 4,"$1,175",Grey,C26401M,"Smartform C2 Alloy, SAVE dropped seatstays, tapered headtube, post mount disc, StraightShot internal cable routing, dropper post compatible BSA 73, 12mm thru axle, Boost 148","SR Suntour XCR, 120mm, coil, 15x110 thru-axle, 46mm offset","Integrated Sealed Bearing, Tapered",Shimano Deore M5120,,"Shimano Deore M4100, 10-speed","KMC X10, 10-speed","FSA Alpha Drive, 30T","Shimano Deore M4100, 11-46, 10-speed","Sealed cartridge bearing, square taper","Tektro M390 hydraulic disc, 180/160mm rotors",Tektro hydraulic disc,"Shimano TC500, 15x110mm thru-axle","Shimano TC500, 12x148mm thru-axle","WTB STX i25 TCS, 32h, tubeless ready","Stainless Steel, 14g",2.3,29,"(F) WTB Breakout, 29x2.3"" / (R) WTB Trail Boss, 29x2.25""","WTB Breakout 29x2.3""","WTB Trail Boss 29x2.25""","FSA Alloy Riser, 15mm rise, 760mm","Cannondale 3, 6061 Alloy, 31.8, 0°",Cannondale Dual-Density,Cannondale Ergo XC,"Cannondale C3, 6061 Alloy, 31.6x350mm (S), 400mm (M-XL)",,,https://embed.widencdn.net/img/dorelrl/drkvhlovwq/800px@1x/C21_C26401M_Trail_SE_4_GRY_D7.jpg?color=f3f3f3&q=90,,,,,,,,,Disc
Habit HT,Habit HT 3,"$1,100",Black Pearl,C26302U,"Habit HT, SmartForm C2 Alloy, tapered headtube, post mount disc, StraightShot internal cable routing, dropper post compatible, BSA 73, 12mm thru axle, Boost 148, 55mm chainline, UDH hanger.","SR Suntour XCR LO Boost 29, 130mm travel, 15mm thru axle, tapered alloy steerer","Integrated Sealed Bearing, Tapered",microSHIFT Advent X,,"microSHIFT Advent X, 10-Speed","KMC X10, 10-speed","Prowheel, 30T, 55mm chainline","microSHIFT Advent X, 11-48, 10-speed",ProWheel BSA 73,"Shimano MT200 hydraulic disc, 180/180mm RT10 rotors",Shimano MT200 hydraulic disc,,,"WTB STX i25 TCS, 32h, tubeless ready","Stainless Steel, 14g",2.3,29,"WTB Breakout, 29x2.3"", Comp","WTB Breakout, 29x2.3"", Comp","WTB Breakout, 29x2.3"", Comp","Cannondale 3 Riser, 6061 Alloy, 15mm rise, 8° sweep, 4° rise, 780mm","Cannondale 3, 6061 Alloy, 31.8, 0°",Cannondale Locking Grips,Cannondale Ergo XC,"TranzX dropper, internal routing, 31.6, 100mm (S), 120mm (M), 130mm (L-XL)",,,/-/media/images/my23/bikes/mountain/trail/habit-ht/pdp/c23_habitht_carousel_4.ashx,"(F) Shimano MT400, 15x110mm thru-axle / (R) Shimano MT400, 12x148mm thru-axle",,,,,,,,
Dave,Dave Dirt Jump,"$1,099.99$1,300",Deep Teal,C29201U,"C3 Alloy, Threaded BB, Disc Brake Mount, Integrated 1-1/8""-1.5"" Tapered Headtube, 3/8"" Dropout w/ Integrated Chain Tensioners","Manitou Circus Expert, Air w/ Rebound Adjust, 100mm, 20mm thru-axle, 1-1/8""-1-1/2"" tapered steerer, preload adjuster, black stanchions","Integrated Sealed Bearing, Tapered",,,,KMC HL1 Wide,"Tubular Cr-Mo 3pc., 170mm Arms, Cold Forged CR-MO 22mm x 8T Spline Spindle, 28T",Sunrace 13T,BMX Euro Type w/ Solid Spindle,"Tektro mechanical disc, 160mm rotor",Tektro 2 finger,,,"Alloy, double wall, 32h","Stainless steel, 14g",2.3,26,"Maxxis DTH 26x2.3""","Maxxis DTH 26x2.3""","Maxxis DTH 26x2.3""","Cannondale 3 Riser, 6061 Alloy, 30mm rise, 8° sweep, 6° rise, 780mm","Cannondale 3, 6061 Alloy, 31.8, 0°",Cannondale TrailShroom,"Cannondale Magic Steel, steel rails","Cannondale 3, 6061 Alloy, 27.2x200mm",,,https://embed.widencdn.net/img/dorelrl/xrh8flc6dk/800px@1x/C23_C29201U_Dave_DTE_D8.jpg?color=ddf4f7&q=90,"(F) Formula 20x110mm thru-axle / (R) Sealed bearing cassette, 3/8x17mm female bolt",,,,,,,,
Treadwell,Treadwell EQ DLX Remixte,"$1,000$1,350",Black Magic,C37131U,"SmartForm C3 Alloy, step-thru Ride-Easy geometry, Straightshot hidden cable routing, Urban Armor frame bumpers, flat mount disc, rack/fender mounts","SmartForm C3 Alloy blades, 1-1/8"" steerer, OutFront offset, flat mount disc, mid-blade mounts","Semi-Integrated, 1-1/8""",microSHIFT Advent,,"microSHIFT Advent, 9-speed","KMC X9, 9-speed","Prowheel, 38T","microSHIFT, 11-42, 9-speed","Cartridge, square taper","Tektro HD-R280 hydraulic disc, 160/140mm rotors",Tektro hydraulic disc,,,"Cannondale Disc, double wall w/eyelet, 32h","Stainless steel, 14g",47,650b,"Maxxis DTR-1, 650bx47c","Maxxis DTR-1, 650bx47c","Maxxis DTR-1, 650bx47c","Cannondale Cruise Control riser, 6061 Alloy, 31.8mm, 15° back, 740mm","Cannondale 3 with Intellimount, Alloy, 31.8, 6°",Cannondale Comfort,"Cannondale Treadwell, 170mm, steel rails","Alloy, 31.6x350mm",Cannondale Wheel Sensor,"Alloy Fenders, Front and Rear Rack, Kickstand, Spanninga Front and Rear Dynamo Lights",https://embed.widencdn.net/img/dorelrl/v40e01gwpc/800px@1x/C21_C37131U_Treadwell_EQ_DLX_Remixte_BKM_D8.jpg?color=E4E8EC&q=90,"(F) Shimano Dynamo DH-3D37 / (R) Sealed Alloy Disc, 5mm Hex Security QR",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Treadwell,Treadwell EQ DLX,"$1,000$1,350",Black Magic,C37131M,"SmartForm C3 Alloy, Ride-Easy low-standover geometry, Straightshot hidden cable routing, Urban Armor frame bumpers, flat mount disc, rack/fender mounts","SmartForm C3 Alloy blades, 1-1/8"" steerer, OutFront offset, flat mount disc, mid-blade mounts","Semi-Integrated, 1-1/8""",microSHIFT Advent,,"microSHIFT Advent, 9-speed","KMC X9, 9-speed","Prowheel, 38T","microSHIFT, 11-42, 9-speed","Cartridge, square taper","Tektro HD-R280 hydraulic disc, 160/140mm rotors",Tektro hydraulic disc,,,"Cannondale Disc, double wall w/eyelet, 32h","Stainless steel, 14g",47,650b,"Maxxis DTR-1, 650bx47c","Maxxis DTR-1, 650bx47c","Maxxis DTR-1, 650bx47c","Cannondale Cruise Control riser, 6061 Alloy, 31.8mm, 15° back, 740mm","Cannondale 3 with Intellimount, Alloy, 31.8, 6°",Cannondale Comfort,"Cannondale Treadwell, 170mm, steel rails","Alloy, 31.6x350mm",Cannondale Wheel Sensor,"Alloy Fenders, Front and Rear Rack, Kickstand, Spanninga Front and Rear Dynamo Lights",https://embed.widencdn.net/img/dorelrl/on30h7s7b2/800px@1x/C21_C37131M_Treadwell_EQ_DLX_BKM_D8.jpg?color=E4E8EC&q=90,"(F) Shimano Dynamo DH-3D37 / (R) Sealed Alloy Disc, 5mm Hex Security QR",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Treadwell,Treadwell 2 Remixte Ltd,"$1,000",Black with WOW colors,C37201U,"SmartForm C3 Alloy, Low-step Ride-Easy geometry, Straightshot hidden cable routing, Urban Armor frame bumpers, flat mount disc, rack/fender mounts","SmartForm C3 Alloy blades, 1-1/8"" steerer, OutFront offset, flat mount disc, mid-blade rack/fender mounts",Semi-Integrated,microSHIFT Advent,,"microSHIFT Advent, 9-speed","KMC X9, 9-speed","Prowheel, 38T","microSHIFT, 11-42, 9-speed","Cartridge, square taper","Tektro HD-R280 hydraulic disc, 160/140mm rotors",Tektro hydraulic disc,"Sealed Alloy Disc, 5mm Hex Security QR","Sealed Alloy Disc, 5mm Hex Security QR","Cannondale, double wall, 32h","Stainless Steel, 14g",47,27.5,"Maxxis DTR-1, 650bx47c","Maxxis DTR-1, 650bx47c","Maxxis DTR-1, 650bx47c","Cannondale Cruise Control riser, 6061 Alloy, 31.8mm, 15° back, 740mm","Cannondale 3 with Intellimount, Alloy, 31.8mm clamp",Cannondale Comfort,"Cannondale Treadwell, 170mm, steel rails","6061 Alloy, 31.6x350mm",Cannondale Wheel Sensor,,/-/media/images/my20/bikes/active/fitness/treadwell/c20_treadwell_tx_8634_graded.ashx,,WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,Disc
Adventure,Adventure 1,$740 - $960,Cool Mint,C32201U,"SmartForm C3 Alloy, SAVE, low-step thru, tapered head tube, Straightshot hidden cable routing, disc brakes, rack/fender mounts","Suntour NEX-E25, 50mm travel, coil, custom crown, 1-1/8"" steerer","Semi-Integrated, Tapered, 1.5""-1-1/8""",microSHIFT Acolyte,,"microSHIFT Acolyte, 8-speed","KMC X8, 8-speed","Prowheel, 38T","microSHIFT, 12-42, 8-speed","Cartridge, square taper","Tektro M275 hydraulic disc, 160/160mm rotors",Tektro hydraulic disc,,,"Cannondale Disc, double wall w/eyelet, 32h","Stainless steel, 14g",2,650b,"Goodyear Transit Tour, 27.5x2.0""","Goodyear Transit Tour, 27.5x2.0""","Goodyear Transit Tour, 27.5x2.0""","Cannondale Riser, 6061 Alloy, 60mm rise, 15° back, 685mm","Promax A-headset Adjustable, 31.8",Cannondale Dual-Density,Cannondale Ergo Comfort,"Suspension, 27.2x300mm",,Kickstand (dropout mounted),https://embed.widencdn.net/img/dorelrl/bmfztujvpr/800px@1x/C21_C32201U_Adventure_1_CMT_D5.jpg?color=E7F3F8&q=90,"(F) Formula DC-1420, QR / (R) Formula DC-1422, QR",,,,,,,,
Trail,Trail Women's 5,$960,Black Pearl,C26301F,"SmartForm C3 Alloy, SAVE, 1-1/8"" headtube, post mount disc, StraightShot internal cable routing, dropper post compatible, BSA-73","SR Suntour XCM, 100mm, coil, 42mm offset (27.5"") 46mm offset (29"")","Semi-Integrated, 1-1/8""",microSHIFT Advent X,,"microSHIFT Advent X, 10-Speed","KMC X10, 10-speed","Prowheel, Charm 30T","microSHIFT, 11-48, 10-speed","Sealed cartridge bearing, square taper","Tektro M275 hydraulic disc, 160/160mm rotors",Tektro hydraulic disc,Shimano HBTX 505,Shimano FH-TX505,"WTB SX19, 32h","Stainless Steel, 14g",2.25,29,"WTB Ranger Comp, 29x2.25"" (27.5x2.25"" - XS, SM), DNA Compound","WTB Ranger Comp, 29x2.25"" (27.5x2.25"" - XS, SM), DNA Compound","WTB Ranger Comp, 29x2.25"" (27.5x2.25"" - XS, SM), DNA Compound","Cannondale Riser, 6061 Alloy, 25mm rise, 8° sweep, 6° rise, 720mm","6061 Alloy, 31.8, 7°",Cannondale Dual-Density,Cannondale Stage 2 Women's,"Cannondale 3, 6061 Alloy, 31.6x350mm (XS - SM), 400mm (MD-LG)",,,https://embed.widencdn.net/img/dorelrl/jtlf8arqzk/800px@1x/C22_C26301F_Trail_5_BPL_D7.jpg?color=f2eff7&q=90,,,,,,,,,Disc
